Plan,Purpose,Levy,LEVIED,LEVIED Description,PAID,PAID Description,WIK CREDIT,WIK Description,BALANCE,Application ID,Application Description,Short Description,Lots,DECISION,Approval Date,Approval Year,APPLICATION_NO,RAM_PROCESS_CTR,locality,legal_description,formatted_address,Determined By,TR TYPE,CHARGE_TYPE,Initial Balance,Charge Amount,Amount,CHARGE_CTR,Reference
S94-18,Other,S94-18 - Council Admin/Support Facilities,38.71,0,,,,,38.71,DA18/0199,3 lot strata subdivision and associated works,3 lot strata subdivision and associated works,1,Approved,2018-05-30,2018,772238,772238,SOUTH MURWILLUMBAH,Lot 15 DP 1052244,26 Lundberg Drive SOUTH MURWILLUMBAH NSW 2484,Council,LEVIED,Shirewide,38.71,38.71,38.71,9318393,
S94-13,Other,S94-13 - Eviron Cemetery,,,-733,0,,,0,DA18/0320,residential flat building including demolition of existing structures,residential flat building including demolition of existing s,1,Approved,2018-12-13,2018,776018,776018,KINGSCLIFF,Lot 10 Sec 3 DP 758571,178 Marine Parade KINGSCLIFF NSW 2487,Council,PAID,ResDevt13,733,733,-733,9831523,
S94-18,Other,S94-18 - Council Admin/Support Facilities,,,-248.17,0,,,0,DA15/0959,change of use of one tourist accommodation unit to dual use shop top housing and serviced apartments,change of use of one tourist accommodation unit to dual use ,1,Approved,2016-01-13,2016,682832,682832,TWEED HEADS,Lot 18 SP 79995,18/14-18 Stuart Street TWEED HEADS NSW 2485,Council,PAID,Shirewide,248.17,248.17,-248.17,7512349,
S94-05,Open Space,S94-05 - Casual Open Space (Local),905,0,,,,,0,DA16/0448,farm stay accommodation,farm stay accommodation,1,Approved,2016-10-25,2016,705661,705661,BYANGUM,Lot 11 DP 835413,2 Boulder Close BYANGUM NSW 2484,Council,LEVIED,CasualOS_5,905,905,905,8095669,
S94-28,Other,S94-28 - Seaside City,,,-21772,DA16/0922 Refund 90% of R733592 PD KO,,,0,DA16/0922,four lot subdivision,four lot subdivision,4,Approved,2017-06-30,2017,726611,726611,KINGSCLIFF,Lot 40 DP 1145386,Cylinders Drive KINGSCLIFF NSW 2487,Council,PAID,Seaside28,217720,217720,-21772,8364089,DA16/0922 Refund 90% of R733592 PD KO
S94-18,Other,S94-18 - Council Admin/Support Facilities,,,-1888.66,0,,,0,DA15/0616,two lot industrial subdivision,two lot industrial subdivision,2,Approved,2015-11-25,2015,671548,671548,SOUTH MURWILLUMBAH,Lot 11 DP 608421,211 Lundberg Drive SOUTH MURWILLUMBAH NSW 2484,Council,PAID,Shirewide,1888.66,1888.66,-1888.66,7462612,
S94-18,Other,S94-18 - Council Admin/Support Facilities,,,-1421.64,0,,,0,DA19/0140,boundary adjustment,boundary adjustment,2,Approved,2019-07-23,2019,806669,806669,KUNGHUR,"Lot 4 DP 262745
Lot 4 DP 1248837",37 Cooloon Street KUNGHUR NSW 2484,Council,PAID,Shirewide,1421.64,1421.64,-1421.64,10655789,
S94-04,Roads,S94-04 - Road Contribution Sector 01,30538.3,"DA18/1006 (See new charge as per S4.55 31/8/2020)J,DA18/1006 (as per S4.55 31/8/2020)JT,DA18/1006 (as per recalc 17/11/22) AM",,,,,21945.3,DA18/1006,establishment of 11 self-contained motel rooms on the first floor of a previously approved mixed use building,establishment of 11 self-contained motel rooms on the first ,1,Approved,2019-12-13,2019,798793,798793,TWEED HEADS,"Lot 1 Sec 4 DP 4570
Lot 2 Sec 4 DP 4570",79-81 Wharf Street TWEED HEADS NSW 2485,Council,LEVIED,Sector1_4,21945.3,21945.3,30538.3,10810925,"DA18/1006 (See new charge as per S4.55 31/8/2020)J,DA18/1006 (as per S4.55 31/8/2020)JT,DA18/1006 (as per recalc 17/11/22) AM"
S94-05,Open Space,S94-05 - Casual Open Space (Local),,,-2106,0,,,0,DA16/0857,townhouse development comprising five units (staged),townhouse development comprising five units (staged),5,Approved,2017-05-23,2017,723782,723782,TWEED HEADS SOUTH,"Lot 12 DP 1258218
Being Lots 1-5 SP 98825",11 Parry Street TWEED HEADS SOUTH NSW 2486,Council,PAID,CasualOS_5,2106,2106,-2106,8330410,
S94-26,Open Space,S94-26 - Casual Open Space (Regional),,,-203,0,,,0,DA17/0330,"alterations and additions to existing dual occupancy including third storey extension, lift, extension and renovation of second storey and attached balcony and new covered entry to ground floor",alterations and additions to existing dual occupancy includi,2,Approved,2017-10-11,2017,743191,743191,KINGSCLIFF,Lot 13 Sec 5 DP 758571,202 Marine Parade KINGSCLIFF NSW 2487,Council,PAID,CasOS_26,203,203,-203,9082308,
S94-04,Roads,S94-04 - Road Contribution Sector 02,,,-365053.44,"DA21/0407 (EGD) KLM,DA21/0407 (EBE) KLM",,,0,DA21/0407,change of use to indoor recreational facility (Anytime Fitness Gymnasium) including internal fit-out and associated business signage (5 signs),change of use to indoor recreational facility (Anytime Fitne,2,Approved,2022-04-20,2022,896814,896814,TWEED HEADS SOUTH,Lot 120 DP 817783,54-58 Greenway Drive TWEED HEADS SOUTH NSW 2486,Council,PAID,Sector2_4,365053.44,365053.44,-365053.44,12676704,"DA21/0407 (EGD) KLM,DA21/0407 (EBE) KLM"
S94-15,Community Facilities,S94-15 - Community Facilities (Shirewide),178,0,,,,,178,DA16/0875,addition to existing dual occupancy (additional bedroom),addition to existing dual occupancy (additional bedroom),1,Approved,2017-06-09,2017,724519,724519,TERRANORA,Lot 6 DP 777676,49 Bilambil Road TERRANORA NSW 2486,Council,LEVIED,ComFac15,178,178,178,8348538,
S94-12,Roads,S94-12 - Bus Shelters,64,0,,,,,0,DA14/0480,two lot subdivision and two dwellings,two lot subdivision and two dwellings,2,Approved,2015-02-10,2015,633662,633662,KINGSCLIFF,Lot 24 DP 1162599,316 Casuarina Way KINGSCLIFF NSW 2487,Council,LEVIED,Over10ET,64,64,64,6901311,
S94-11,Community Facilities,S94-11 - Library Facilities,755,DA18/0621 (as per recalc) KLM,,,,,755,DA18/0621,"demolition of existing dwelling (stage 1), boundary adjustment and associated earthworks (stage 2), detached dual occupancy (stage 3), strata subdivision of dual occupancy (stage 4), construction of a dwelling house (stage 5)","demolition of existing dwelling (stage 1), boundary adjustme",2,Approved,2018-12-21,2018,787374,787374,MURWILLUMBAH,Lots 2-3 DP 8637,13 Rous Street MURWILLUMBAH NSW 2484,Council,LEVIED,ResDevt11,700,700,755,9848504,DA18/0621 (as per recalc) KLM
S94-26,Open Space,S94-26 - Structured Open Space (Regional),12653,DA18/0399 (as per recalc 17/2/21) AM,,,,,0,DA18/0399,multi dwelling housing (4 townhouses) and ancillary demolition and landscaping works,multi dwelling housing (4 townhouses) and ancillary demoliti,4,Approved,2019-04-17,2019,778768,778768,KINGSCLIFF,"Lot 1 DP 1285821
Being Lots 1-4 SP 105657",9 Boomerang Street KINGSCLIFF NSW 2487,Council,LEVIED,StrucOS_26,12653,12653,12653,9951847,DA18/0399 (as per recalc 17/2/21) AM
S94-11,Community Facilities,S94-11 - Library Facilities,667.83,DA15/0629 (as per amendment 27/7/22) JT,,,,,667.83,DA15/0629,2 lot subdivision,2 lot subdivision,2,Approved,2015-12-02,2015,671752,671752,CHILLINGHAM,Lot 8 DP 255274,13 Bindaree Place CHILLINGHAM NSW 2484,Council,LEVIED,ResDevt11,667.83,667.83,667.83,7470469,DA15/0629 (as per amendment 27/7/22) JT
S94-26,Open Space,S94-26 - Structured Open Space (Regional),105652,0,,,,,105652,DA15/0776,"mixed use development incorporating 40  dual use units (residential and tourist accommodation) including an ancillary communal area with swimming pool and gym, ground level commercial premises (retail, restaurant/café and office use) and vehicular parking over the basement and ground levels, two lot stratum subdivision and 40 lot strata subdivision",mixed use development incorporating 40  dual use units (resi,1,Approved,2016-04-13,2016,676867,676867,KINGSCLIFF,Lot 54 DP 1145386,Cylinders Drive KINGSCLIFF NSW 2487,Council,LEVIED,StrucOS_26,105652,105652,105652,7598357,
S94-13,Other,S94-13 - Eviron Cemetery,2024.6100000000001,"DA14/0904 (reduction as per cap KLM),DA14/0904 (as per S96 KLM),DA14/0904 (Stg1 as per S96 KLM),DA14/0904 (Stg2 as per S96 KLM),DA14/0904 (Stg3 as per S96 KLM),DA14/0904 (Stg4 as per S96 KLM),DA14/0904 (Stg5 as per S96 KLM),DA14/0904 (Stg6 as per S96 KLM),DA14/0904 (Stg7 as per S96 KLM),DA14/0904 (Stg8 as per S96 KLM)",,,,,2024.61,DA14/0904,28 townhouse development,28 townhouse development,28,DefdComnce,2015-09-11,2015,648403,648403,TWEED HEADS SOUTH,Lot 2 DP 566095,47 Champagne Drive TWEED HEADS SOUTH NSW 2486,Council-Deferred,LEVIED,ResDevt13,2033.6,2033.6,2024.6100000000001,7384747,"DA14/0904 (reduction as per cap KLM),DA14/0904 (as per S96 KLM),DA14/0904 (Stg1 as per S96 KLM),DA14/0904 (Stg2 as per S96 KLM),DA14/0904 (Stg3 as per S96 KLM),DA14/0904 (Stg4 as per S96 KLM),DA14/0904 (Stg5 as per S96 KLM),DA14/0904 (Stg6 as per S96 KLM),DA14/0904 (Stg7 as per S96 KLM),DA14/0904 (Stg8 as per S96 KLM)"
S94-13,Other,S94-13 - Eviron Cemetery,118,0,,,,,0,DA18/0665,change of use of Lot 18 (unit 205) to dual use of shop top housing and serviced apartments,change of use of Lot 18 (unit 205) to dual use of shop top h,1,Approved,2019-02-13,2019,788528,788528,CABARITA BEACH,Lot 18 SP 77096,18/2-6 Pandanus Parade CABARITA BEACH NSW 2488,Council,LEVIED,ResDevt13,118,118,118,9887296,
S94-18,Other,S94-18 - Council Admin/Support Facilities,1743.96,DA15/0585 Stg2 (as per S96 issued 4/1/2017) AM,,,,,1743.96,DA15/0585,"site remediation and staged development comprising alterations and additions to existing building, use as a natural energy centre, industrial fabrication, cafe, showroom, office space, new shop and residence",site remediation and staged development comprising alteratio,1,Approved,2016-02-12,2016,670383,670383,TYALGUM,Lot 1 DP 228337,6 Coolman Street TYALGUM NSW 2484,Council,LEVIED,Shirewide,1743.96,1743.96,1743.96,7542243,DA15/0585 Stg2 (as per S96 issued 4/1/2017) AM
S94-04,Roads,S94-04 - Road Contribution Sector 13,0,DA16/0795 (Contributions being refunded)JT,,,,,0,DA16/0795,two lot subdivision and use of an existing structure as a dwelling,two lot subdivision and use of an existing structure as a dw,2,DefdComnce,2018-02-22,2018,721192,721192,TERRAGON,Lot 7 DP 1178620,2063 Kyogle Road TERRAGON NSW 2484,Council-Deferred,LEVIED,Sector13_4,12400.43,12400.43,0,9216768,DA16/0795 (Contributions being refunded)JT
S94-26,Open Space,S94-26 - Casual Open Space (Regional),6196,0,,,,,0,DA19/0199,residential flat building with basement car parking and swimming pool including demolition of all existing structures,residential flat building with basement car parking and swim,1,Approved,2019-08-19,2019,809179,809179,KINGSCLIFF,"Lot 176 DP 1270468
Being Lots 1-7 SP 102661",176 Marine Parade KINGSCLIFF NSW 2487,Council,LEVIED,CasOS_26,6196,6196,6196,10681208,
S94-18,Other,S94-18 - Council Admin/Support Facilities,3629.29,0,,,,,0,DA17/0111,"three unit townhouse development (1 x 3 bedroom, 2 x 4 bedroom)","three unit townhouse development (1 x 3 bedroom, 2 x 4 bedro",3,Approved,2017-10-24,2017,733799,733799,KINGSCLIFF,"Lot 10 DP 1254565
Being Lots 1-3 SP 99738",64 Pearl Street KINGSCLIFF NSW 2487,Council,LEVIED,Shirewide,3629.29,3629.29,3629.29,9097408,
S94-26,Open Space,S94-26 - Structured Open Space (Regional),,,-3890,0,,,0,DA15/0293,five into four lot subdivision (boundary adjustment),five into four lot subdivision (boundary adjustment),1,Approved,2015-12-22,2015,662197,662197,KINGSCLIFF,"Lot 118 DP 572524
Lot 71 DP 572523",25 Ozone Street KINGSCLIFF NSW 2487,Council,PAID,StrucOS_26,3890,3890,-3890,7484417,
S94-13,Other,S94-13 - Eviron Cemetery,875,"DA15/0773 (now staged),DA15/0773 (Stg1),DA15/0773 (Stg2),DA15/0773 (wrong stage no),DA15/0773 (Stg3)",,,,,0,DA15/0773,multi-dwelling housing consisting of 12 townhouses,multi-dwelling housing consisting of 12 townhouses,12,Approved,2016-03-03,2016,676755,676755,KINGSCLIFF,Lot 358 DP 1162588,33 Sailfish Way KINGSCLIFF NSW 2487,Council,LEVIED,ResDevt13,875,875,875,7564820,"DA15/0773 (now staged),DA15/0773 (Stg1),DA15/0773 (Stg2),DA15/0773 (wrong stage no),DA15/0773 (Stg3)"
S94-26,Open Space,S94-26 - Casual Open Space (Regional),,,-865.26,0,,,0,DA18/0750,2 lot subdivision,2 lot subdivision,2,Approved,2019-02-15,2019,791133,791133,SMITHS CREEK,Lot 4 DP 255027,131 Smiths Creek Road SMITHS CREEK NSW 2484,Council,PAID,CasOS_26,865.26,865.26,-865.26,9887544,
S94-26,Open Space,S94-26 - Casual Open Space (Regional),,,-9622,0,,,0,DA15/0739,12 townhouses,12 townhouses,12,Approved,2016-03-29,2016,675411,675411,KINGSCLIFF,Lot 360 DP 1162588,29 Sailfish Way KINGSCLIFF NSW 2487,Council,PAID,CasOS_26,9622,9622,-9622,7584915,
S94-04,Roads,S94-04 - Road Contribution Sector 06,200154,DA18/0757 (as per recalc) KLM,,,,,0,DA18/0757,demolition of the existing buildings and the construction of a 71 place child care facility,demolition of the existing buildings and the construction of,1,Approved,2019-04-11,2019,791249,791249,CHINDERAH,Lot 20 DP 1270091,11 Waugh Street CHINDERAH NSW 2487,Council,LEVIED,Sector6_4,120092.4,120092.4,200154,9944623,DA18/0757 (as per recalc) KLM
S94-05,Open Space,S94-05 - Structured Open Space (Local),4785,0,,,,,0,DA16/0772,townhouse development comprising 12 units,townhouse development comprising 12 units,12,Approved,2017-04-05,2017,720248,720248,TWEED HEADS,Lot 12 DP 25770,6 Stanley Street TWEED HEADS NSW 2485,Council,LEVIED,StructOS_5,4785,4785,4785,8282625,
S94-07,Drainage,S94-07 - West Kcliff Community Drainage,,,-435.76,0,,,0,DA15/0395,dwelling additions,dwelling additions,1,Approved,2015-07-07,2015,665401,665401,KINGSCLIFF,Lot 91 DP 1155655,6 Woram Place KINGSCLIFF NSW 2487,Council,PAID,Drainage,363.23,435.76,-435.76,7032496,
S94-11,Community Facilities,S94-11 - Library Facilities,,,-1376,0,,,0,DA14/0654,eco-tourist facility,eco-tourist facility,1,Approved,2015-06-30,2015,639154,639154,MOUNT BURRELL,Lot 6 DP 747537,274 Mount Burrell Road MOUNT BURRELL NSW 2484,Council,PAID,ResDevt11,1376,1376,-1376,7026732,
S94-22,Roads,S94-22 - Cycleways,368,0,,,,,0,DA18/0005,detached dual occupancy,detached dual occupancy,1,Approved,2018-06-28,2018,764723,764723,KINGSCLIFF,"Lot 1 DP 1258055
Being Lots 1-2 SP 100835",21 Boomerang Street KINGSCLIFF NSW 2487,Council,LEVIED,Shirewid22,368,368,368,9345542,
S94-05,Open Space,S94-05 - Structured Open Space (Local),754,DA19/0551 (Rural Workers Dwelling),,,,,0,DA19/0551,change of use of existing decommissioned  buildings to farm stay accommodation and rural workers dwelling,change of use of existing decommissioned  buildings to farm ,1,Approved,2020-03-10,2020,826501,826501,PUMPENBIL,Lot 5 DP 634124,229 South Pumpenbil Road PUMPENBIL NSW 2484,Council,LEVIED,StructOS_5,754,754,754,10890013,DA19/0551 (Rural Workers Dwelling)
S94-04,Roads,S94-04 - Road Contribution Sector 08 Pottsville,,,-1773,0,,,0,DA16/0366,dual occupancy (detached) and strata subdivision,dual occupancy (detached) and strata subdivision,2,Approved,2016-07-14,2016,702780,702780,POTTSVILLE,"Lot 1506 DP 1207462
Being Lots 1-2 SP 94609",3 Bonville Street POTTSVILLE NSW 2489,Council,PAID,Sector8_4,1773,1773,-1773,7684359,
S94-12,Roads,S94-12 - Bus Shelters,49.4,"DA16/0133 (as per recalc 9/7/2019) AM,DA16/0133 (as per recalc 19/3/2021) AM",,,,,0,DA16/0133,2 lot subdivision,2 lot subdivision,2,Approved,2016-06-06,2016,692153,692153,UKI,Lot 2 DP 1178573,1531 Kyogle Road UKI NSW 2484,Council,LEVIED,Over10ET,49.4,49.4,49.4,7653451,"DA16/0133 (as per recalc 9/7/2019) AM,DA16/0133 (as per recalc 19/3/2021) AM"
S94-04,Roads,S94-04 - Road Contribution Sector 01,8846,"DA19/0397 (Stg 2),DA19/0397 (Stg 3),DA19/0397 (Stg 4)",,,,,8846,DA19/0397,"staged proposal comprising multi dwelling housing (4 dwellings), earthworks, tree removal (1), four swimming pools, additional ancillary works and strata subdivision",staged proposal comprising multi dwelling housing (4 dwellin,2,Approved,2020-05-08,2020,821111,821111,TWEED HEADS,Lot 2 DP 1085558,5 Razorback Road TWEED HEADS NSW 2485,Council,LEVIED,Sector1_4,8846,8846,8846,10947499,"DA19/0397 (Stg 2),DA19/0397 (Stg 3),DA19/0397 (Stg 4)"
S94-05,Open Space,S94-05 - Structured Open Space (Local),,,-645,0,,,0,DA17/0348,construction of new dwelling to create detached dual occupancy,construction of new dwelling to create detached dual occupan,1,Approved,2017-10-30,2017,744042,744042,TERRANORA,Lot 8 DP 804521,15 Federation Drive TERRANORA NSW 2486,Council,PAID,StructOS_5,645,645,-645,9100460,
S94-26,Open Space,S94-26 - Casual Open Space (Regional),979,0,,,,,979,DA16/0334,"multi dwelling housing (four units), strata subdivision, demolition, earthworks and vegetation clearing","multi dwelling housing (four units), strata subdivision, dem",4,Approved,2016-08-23,2016,701729,701729,KINGSCLIFF,Lot 7 Sec 1 DP 7309,14 Olga Street KINGSCLIFF NSW 2487,Council,LEVIED,CasOS_26,979,979,979,8020121,
S94-15,Community Facilities,S94-15 - Community Facilities (Shirewide),834,0,,,,,834,DA17/0904,use of an existing structure as farm stay accommodation,use of an existing structure as farm stay accommodation,1,Approved,2019-05-07,2019,763542,763542,CRYSTAL CREEK,Lot 5 DP 871177,102 Crooks Valley Road CRYSTAL CREEK NSW 2484,Council,LEVIED,ComFac15,834,834,834,9973450,
S94-26,Open Space,S94-26 - Structured Open Space (Regional),3020,0,,,,,0,DA18/0931,change of use from tourist and visitor accommodation to dual use shop top housing and serviced apartments,change of use from tourist and visitor accommodation to dual,1,Approved,2019-02-19,2019,795454,795454,TWEED HEADS,Lot 124 SP 79995,124/20-22 Stuart Street TWEED HEADS NSW 2485,Council,LEVIED,StrucOS_26,3020,3020,3020,9888636,
S94-04,Roads,S94-04 - Road Contribution Sector 06,6672,DA16/0835 (as per recalc KLM),,,,,0,DA16/0835,demolition of existing building and erection of 3 attached dwellings,demolition of existing building and erection of 3 attached d,3,Approved,2017-04-21,2017,723231,723231,KINGSCLIFF,"Lot 66 DP 1262761
Being Lots 1-3 SP 101273",66 Pearl Street KINGSCLIFF NSW 2487,Council,LEVIED,Sector6_4,6276,6276,6672,8298601,DA16/0835 (as per recalc KLM)
S94-05,Open Space,S94-05 - Casual Open Space (Local),572.05,0,,,,,0,DA21/0159,two (2) lot subdivision,two (2) lot subdivision,1,Approved,2021-07-09,2021,886481,886481,MURWILLUMBAH,Lot 21 DP 331993,39 West End Street MURWILLUMBAH NSW 2484,Council,LEVIED,CasualOS_5,572.05,572.05,572.05,11668694,
S94-15,Community Facilities,S94-15 - Community Facilities (Shirewide),1032,0,,,,,0,DA17/0255,use of previously converted farm shed as farm stay accommodation,use of previously converted farm shed as farm stay accommoda,1,Approved,2018-05-24,2018,740410,740410,CAROOL,Lot 4 DP 881568,113 Blissetts Road CAROOL NSW 2486,Council,LEVIED,ComFac15,1032,1032,1032,9312081,
S94-18,Other,S94-18 - Council Admin/Support Facilities,,,-1432.18,0,,,0,DA16/0372,dual occupancy (detached) and strata subdivision,dual occupancy (detached) and strata subdivision,2,Approved,2016-09-02,2016,702932,702932,POTTSVILLE,"Lot 1714 DP 1215252
Being Lots 1-2 SP 95118",11 Woolgoolga Court POTTSVILLE NSW 2489,Council,PAID,Shirewide,1432.18,1432.18,-1432.18,8037208,
S94-26,Open Space,S94-26 - Casual Open Space (Regional),,,-1114.35,0,,,0,DA21/0159,two (2) lot subdivision,two (2) lot subdivision,1,Approved,2021-07-09,2021,886481,886481,MURWILLUMBAH,Lot 21 DP 331993,39 West End Street MURWILLUMBAH NSW 2484,Council,PAID,CasOS_26,1114.35,1114.35,-1114.35,11668696,
S94-12,Roads,S94-12 - Bus Shelters,,,-47,0,,,0,DA17/0211,change of use of one tourist accommodation unit to dual use shop top housing and serviced apartments,change of use of one tourist accommodation unit to dual use ,1,Approved,2017-06-15,2017,738062,738062,TWEED HEADS,Lot 32 SP 79995,32/14-18 Stuart Street TWEED HEADS NSW 2485,Council,PAID,Over10ET,47,47,-47,8354263,
S94-04,Roads,S94-04 - Road Contribution Sector 01,92488,0,,,,,55492.8,DA20/0794,establishment of storage premises (self storage units) and advertising,establishment of storage premises (self storage units) and a,1,Approved,2021-03-01,2021,868994,868994,TWEED HEADS,Lot 668 DP 755740,65-67 Ourimbah Road TWEED HEADS NSW 2485,Council,LEVIED,Sector1_4,92488,92488,92488,11541620,
